subject,roi,phase,condition,beta
12,hc_tail,acquisition,CS+,27.14675484335533
12,hc_tail,acquisition,CS-,32.71067725083601
12,hc_tail,acquisition,CS-,32.71067725083601
12,hc_tail,baseline,CS+,17.870163468333583
12,hc_tail,baseline,CS+,17.870163468333583
12,hc_tail,baseline,CS-,25.006306406800395
12,hc_tail,baseline,CS-,25.006306406800395
12,hc_tail,extinction,CS+,15.691660704349893
12,hc_tail,extinction,CS+,15.691660704349893
12,hc_tail,extinction,CS-,34.24474728490114
12,hc_tail,extinction,CS-,34.24474728490114
13,amyg_bla,acquisition,CS+,-6.655422756237842
13,amyg_bla,acquisition,CS-,10.722825766934493
13,amyg_bla,baseline,CS+,4.981816824177602
13,amyg_bla,baseline,CS-,4.270277472373318
13,amyg_bla,extinction,CS+,-1.4877398899040206
13,amyg_bla,extinction,CS-,2.8503700543022883
13,amyg_cem,acquisition,CS+,17.631485984210045
13,amyg_cem,acquisition,CS-,28.862486275914375
13,amyg_cem,baseline,CS+,32.15895280505297
13,amyg_cem,baseline,CS-,12.264607029296057
13,amyg_cem,extinction,CS+,28.409891657545657
13,amyg_cem,extinction,CS-,24.89304057903768
13,hc_body,acquisition,CS+,-8.018064210233895
13,hc_body,acquisition,CS-,-9.783587754636017
13,hc_body,baseline,CS+,-2.700355296761481
13,hc_body,baseline,CS-,-0.44619309740910756
13,hc_body,extinction,CS+,3.0984045856134736
13,hc_body,extinction,CS-,-8.430324508604429
13,hc_tail,acquisition,CS+,10.023786687404446
13,hc_tail,acquisition,CS+,10.023786687404446
13,hc_tail,acquisition,CS-,12.018227950904308
13,hc_tail,acquisition,CS-,12.018227950904308
13,hc_tail,baseline,CS+,26.483458093544133
13,hc_tail,baseline,CS+,26.483458093544133
13,hc_tail,baseline,CS-,22.56578827595523
13,hc_tail,baseline,CS-,22.56578827595523
13,hc_tail,extinction,CS+,18.624713894646906
13,hc_tail,extinction,CS+,18.624713894646906
13,hc_tail,extinction,CS-,13.550442836187939
13,hc_tail,extinction,CS-,13.550442836187939
14,amyg_bla,acquisition,CS+,-20.166233441001683
14,amyg_bla,acquisition,CS-,-42.15715644970308
14,amyg_bla,baseline,CS+,-23.88071522364428
14,amyg_bla,baseline,CS-,-22.210812496738004
14,amyg_bla,extinction,CS+,-35.75197621817633
14,amyg_bla,extinction,CS-,-33.21550552362617
14,amyg_cem,acquisition,CS+,-1.5598606523690801
14,amyg_cem,acquisition,CS-,-26.458459047722922
14,amyg_cem,baseline,CS+,3.5657868004037123
14,amyg_cem,baseline,CS-,-6.6627573074979916
14,amyg_cem,extinction,CS+,-7.205045581767053
14,amyg_cem,extinction,CS-,-16.023218166045467
14,hc_body,acquisition,CS+,0.05837728532542493
14,hc_body,acquisition,CS-,-2.488076624105794
14,hc_body,baseline,CS+,2.7364580026572094
14,hc_body,baseline,CS-,1.8685639399459915
14,hc_body,extinction,CS+,7.74009792310204
14,hc_body,extinction,CS-,2.908634147205043
14,hc_tail,acquisition,CS+,1.5238648732992435
14,hc_tail,acquisition,CS+,1.5238648732992435
14,hc_tail,acquisition,CS-,-12.646636486994197
14,hc_tail,acquisition,CS-,-12.646636486994197
14,hc_tail,baseline,CS+,0.1332680084939571
14,hc_tail,baseline,CS+,0.1332680084939571
14,hc_tail,baseline,CS-,-1.41343346065042
14,hc_tail,baseline,CS-,-1.41343346065042
