subject,roi,phase,condition,beta
16,hc_tail,acquisition,CS+,-10.412477825983213
16,hc_tail,acquisition,CS-,-1.9635572788568258
16,hc_tail,baseline,CS+,-7.377698765223613
16,hc_tail,baseline,CS-,-5.074512317135898
16,hc_tail,extinction,CS+,-11.600355400065315
16,hc_tail,extinction,CS-,-2.7688144463806963
17,amyg_bla,acquisition,CS+,-7.260859602630787
17,amyg_bla,acquisition,CS-,-15.557859198862419
17,amyg_bla,baseline,CS+,-11.558121972131884
17,amyg_bla,baseline,CS-,-23.791271623434774
17,amyg_bla,extinction,CS+,-6.062222865811727
17,amyg_bla,extinction,CS-,-16.731896823246473
17,amyg_cem,acquisition,CS+,-2.0137647875791624
17,amyg_cem,acquisition,CS-,-7.377483958254257
17,amyg_cem,baseline,CS+,-21.235076954588294
17,amyg_cem,baseline,CS-,-28.466813294051427
17,amyg_cem,extinction,CS+,-5.711604907032517
17,amyg_cem,extinction,CS-,-9.098584726015623
17,hc_body,acquisition,CS+,10.060400976862212
17,hc_body,acquisition,CS-,12.555748813844039
17,hc_body,baseline,CS+,9.873433729058153
17,hc_body,baseline,CS-,12.459085641802055
17,hc_body,extinction,CS+,19.308278304144515
17,hc_body,extinction,CS-,6.8941044630413035
17,hc_tail,acquisition,CS+,34.509667873275106
17,hc_tail,acquisition,CS-,21.300352575750946
17,hc_tail,baseline,CS+,25.45183254651025
17,hc_tail,baseline,CS-,24.117897047088128
17,hc_tail,extinction,CS+,33.82255605654393
17,hc_tail,extinction,CS-,26.88372819651412
18,amyg_bla,acquisition,CS+,8.511656682093294
18,amyg_bla,acquisition,CS-,7.006575150748861
18,amyg_bla,baseline,CS+,-0.9584343258222026
18,amyg_bla,baseline,CS-,8.305946371930895
18,amyg_bla,extinction,CS+,4.767405558988479
18,amyg_bla,extinction,CS-,0.14455919634841435
18,amyg_cem,acquisition,CS+,-29.181213383290054
18,amyg_cem,acquisition,CS-,47.93119761828483
18,amyg_cem,baseline,CS+,8.920881623153532
18,amyg_cem,baseline,CS-,16.24266318043675
18,amyg_cem,extinction,CS+,9.848983138649153
18,amyg_cem,extinction,CS-,27.438069361697696
18,hc_body,acquisition,CS+,-4.702914611242232
18,hc_body,acquisition,CS-,9.631691877612873
18,hc_body,baseline,CS+,-0.7108473884809922
18,hc_body,baseline,CS-,-1.814648293528179
18,hc_body,extinction,CS+,1.5155043016556045
18,hc_body,extinction,CS-,-5.227581377036494
18,hc_tail,acquisition,CS+,-8.907758329655714
18,hc_tail,acquisition,CS-,14.710261086738385
18,hc_tail,baseline,CS+,1.9882230856275371
18,hc_tail,baseline,CS-,-8.298349265009165
18,hc_tail,extinction,CS+,5.262494188177493
18,hc_tail,extinction,CS-,6.552972470402949
19,amyg_bla,acquisition,CS+,-15.434158849343346
19,amyg_bla,acquisition,CS-,-11.534469442035975
19,amyg_bla,baseline,CS+,-15.970973937593474
19,amyg_bla,baseline,CS-,-7.962251444438139
19,amyg_bla,extinction,CS+,-12.832918624465766
19,amyg_bla,extinction,CS-,-21.88497637287535
19,amyg_cem,acquisition,CS+,-16.65249690588783
19,amyg_cem,acquisition,CS-,-7.360492096337325
19,amyg_cem,baseline,CS+,-2.9825292404412345
19,amyg_cem,baseline,CS-,-9.980359607305397
19,amyg_cem,extinction,CS+,-24.48199721702429
19,amyg_cem,extinction,CS-,-13.994850462247785
19,hc_body,acquisition,CS+,-22.22579532331936
19,hc_body,acquisition,CS-,-18.12409121882503
