roi,cope,subject,phase,beta
hc_tail,CS-A,2,memory_run-01,-0.07862902
hc_tail,CS-A,2,memory_run-02,-0.08776289
hc_tail,CS-A,2,memory_run-03,-0.052690547
hc_tail,CS-A,3,memory_run-01,-0.12481944
hc_tail,CS-A,3,memory_run-02,-0.054624975
hc_tail,CS-A,3,memory_run-03,0.20815012
hc_tail,CS-A,4,memory_run-01,-0.31698644
hc_tail,CS-A,4,memory_run-02,-0.0105848005
hc_tail,CS-A,4,memory_run-03,-0.08773872
hc_tail,CS-A,5,memory_run-01,0.04163497
hc_tail,CS-A,5,memory_run-02,0.0053139017
hc_tail,CS-A,5,memory_run-03,-0.07781116
hc_tail,CS-A,6,memory_run-01,0.1362604
hc_tail,CS-A,6,memory_run-02,-0.062243763
hc_tail,CS-A,6,memory_run-03,0.04646818
hc_tail,CS-A,7,memory_run-01,-0.3608757
hc_tail,CS-A,7,memory_run-02,0.012451238
hc_tail,CS-A,7,memory_run-03,0.08120501
hc_tail,CS-A,8,memory_run-01,0.32928342
hc_tail,CS-A,8,memory_run-02,0.21960258
hc_tail,CS-A,8,memory_run-03,0.16959547
hc_tail,CS-A,9,memory_run-01,0.06479827
hc_tail,CS-A,9,memory_run-02,-0.19464068
hc_tail,CS-A,9,memory_run-03,-0.09553138
hc_tail,CS-A,10,memory_run-01,-0.07572627
hc_tail,CS-A,10,memory_run-02,-0.083522074
hc_tail,CS-A,10,memory_run-03,-0.024515752
hc_tail,CS-A,12,memory_run-01,0.24924554
hc_tail,CS-A,12,memory_run-02,0.059181266
hc_tail,CS-A,12,memory_run-03,0.42784867
hc_tail,CS-A,13,memory_run-01,0.103322625
hc_tail,CS-A,13,memory_run-02,0.27754828
hc_tail,CS-A,13,memory_run-03,0.010628182
hc_tail,CS-A,14,memory_run-01,0.15837139
hc_tail,CS-A,14,memory_run-02,-0.10272773
hc_tail,CS-A,14,memory_run-03,-0.05018411
hc_tail,CS-A,15,memory_run-01,0.22958878
hc_tail,CS-A,15,memory_run-02,0.33454663
hc_tail,CS-A,15,memory_run-03,0.15217948
hc_tail,CS-A,16,memory_run-01,-0.02111801
hc_tail,CS-A,16,memory_run-02,-0.0707223
hc_tail,CS-A,16,memory_run-03,-0.034231126
hc_tail,CS-A,17,memory_run-01,0.13961934
hc_tail,CS-A,17,memory_run-02,0.12901594
hc_tail,CS-A,17,memory_run-03,0.041353285
hc_tail,CS-A,18,memory_run-01,-0.08537551
hc_tail,CS-A,18,memory_run-02,0.025638863
hc_tail,CS-A,18,memory_run-03,0.04112231
hc_tail,CS-A,19,memory_run-01,0.06816987
hc_tail,CS-A,19,memory_run-02,-0.124256216
hc_tail,CS-A,19,memory_run-03,0.026667153
hc_tail,CS-A,20,memory_run-01,-0.064948134
hc_tail,CS-A,20,memory_run-02,0.10843341
hc_tail,CS-A,20,memory_run-03,-0.06765322
hc_tail,CS-A,21,memory_run-01,0.16474909
