subject,roi,phase,condition,beta
116,rACC,baseline,CS+,51.7931319472781
116,rACC,baseline,CS-,76.30704555747636
116,rACC,extinction,CS+,73.11444544869138
116,rACC,extinction,CS-,87.0975120266117
116,sgACC,acquisition,CS+,7.803503195550643
116,sgACC,acquisition,CS-,-15.39951627395317
116,sgACC,baseline,CS+,3.376754754482686
116,sgACC,baseline,CS-,-12.118215740899092
116,sgACC,extinction,CS+,-38.59760046168072
116,sgACC,extinction,CS-,-43.14780060234709
117,rACC,acquisition,CS+,90.6690717340872
117,rACC,acquisition,CS-,123.83406716624435
117,rACC,baseline,CS+,90.24198729769421
117,rACC,baseline,CS-,137.46673724994318
117,rACC,extinction,CS+,83.65111303623783
117,rACC,extinction,CS-,90.73155840653263
117,sgACC,acquisition,CS+,-37.948750542869135
117,sgACC,acquisition,CS-,-39.444833814942946
117,sgACC,baseline,CS+,-48.5334547122331
117,sgACC,baseline,CS-,-39.5945533223157
117,sgACC,extinction,CS+,-78.88621474758659
117,sgACC,extinction,CS-,-35.028055517963004
118,rACC,acquisition,CS+,-1.5137270075251619
118,rACC,acquisition,CS-,27.649242954751706
118,rACC,baseline,CS+,34.707200596799915
118,rACC,baseline,CS-,42.43259713424009
118,rACC,extinction,CS+,-2.547541750696601
118,rACC,extinction,CS-,5.056349439920386
118,sgACC,acquisition,CS+,-21.168227457323088
118,sgACC,acquisition,CS-,-53.14368328901869
118,sgACC,baseline,CS+,-12.73991563957218
118,sgACC,baseline,CS-,9.593368356818777
118,sgACC,extinction,CS+,-14.607011723536157
118,sgACC,extinction,CS-,-8.6264527200936
120,rACC,acquisition,CS+,19.97041962731605
120,rACC,acquisition,CS-,46.46135518493898
120,rACC,baseline,CS+,29.103058498041364
120,rACC,baseline,CS-,21.015536563792143
120,rACC,extinction,CS+,37.71635739442797
120,rACC,extinction,CS-,-8.666198239947846
120,sgACC,acquisition,CS+,-47.735861538325516
120,sgACC,acquisition,CS-,39.95500958646742
120,sgACC,baseline,CS+,21.333012184443852
120,sgACC,baseline,CS-,28.079050617287496
120,sgACC,extinction,CS+,24.630310325652633
120,sgACC,extinction,CS-,38.83545808175106
121,rACC,acquisition,CS+,44.04193145521612
121,rACC,acquisition,CS-,7.269937477963349
121,rACC,baseline,CS+,33.84854781409227
121,rACC,baseline,CS-,-15.837383604885693
121,rACC,extinction,CS+,37.6421168218128
121,rACC,extinction,CS-,28.26394321405305
121,sgACC,acquisition,CS+,-113.904051628119
121,sgACC,acquisition,CS-,-116.16675476263904
121,sgACC,baseline,CS+,-122.39800075440381
121,sgACC,baseline,CS-,-145.85211065450156
121,sgACC,extinction,CS+,-116.6680149536137
121,sgACC,extinction,CS-,-131.41523219140043
122,rACC,acquisition,CS+,99.86165390859259
122,rACC,acquisition,CS-,97.69547233620585
122,rACC,baseline,CS+,71.6714006154377
122,rACC,baseline,CS-,77.65724258461577
122,rACC,extinction,CS+,78.92945097506606
122,rACC,extinction,CS-,56.46196567689169
122,sgACC,acquisition,CS+,-144.87115398561863
122,sgACC,acquisition,CS-,-154.83306368784696
122,sgACC,baseline,CS+,-155.41066185998534
122,sgACC,baseline,CS-,-150.75460190725033
122,sgACC,extinction,CS+,-156.35564769996105
122,sgACC,extinction,CS-,-178.43149561887583
123,rACC,acquisition,CS+,37.490149083961214
123,rACC,acquisition,CS-,17.77936088395664
123,rACC,baseline,CS+,23.792006762732786
123,rACC,baseline,CS-,28.244368379052904
123,rACC,extinction,CS+,22.60698072523939
123,rACC,extinction,CS-,26.56465390825257
123,sgACC,acquisition,CS+,-45.54032221882025
123,sgACC,acquisition,CS-,-46.84032609298624
123,sgACC,baseline,CS+,-48.952235829389956
123,sgACC,baseline,CS-,-47.63386115948068
123,sgACC,extinction,CS+,-45.29776026213398
123,sgACC,extinction,CS-,-29.804129997038984
124,rACC,acquisition,CS+,70.2500203010416
124,rACC,acquisition,CS-,86.54858100306033
124,rACC,baseline,CS+,63.015017294650484
124,rACC,baseline,CS-,85.64502354037666
124,rACC,extinction,CS+,102.46349681891462
124,rACC,extinction,CS-,77.08640168536905
124,sgACC,acquisition,CS+,-80.41467500532757
124,sgACC,acquisition,CS-,-93.63065544897339
124,sgACC,baseline,CS+,-94.32477807200472
124,sgACC,baseline,CS-,-81.16699965833926
124,sgACC,extinction,CS+,-53.662033758910304
124,sgACC,extinction,CS-,-102.66632821441938
125,rACC,acquisition,CS+,129.16641795270365
125,rACC,acquisition,CS-,128.59739654592255
125,rACC,baseline,CS+,173.34657092633788
125,rACC,baseline,CS-,153.37243045555394
125,rACC,extinction,CS+,137.02759001732727
125,rACC,extinction,CS-,162.43221938818505
125,sgACC,acquisition,CS+,-89.56762513395826
125,sgACC,acquisition,CS-,-88.56275253392982
125,sgACC,baseline,CS+,-82.67236240476616
125,sgACC,baseline,CS-,-79.27351154109859
125,sgACC,extinction,CS+,-88.68611944955697
125,sgACC,extinction,CS-,-101.50906543791766
