group,memory_phase,roi,condition,el,subject,rsa
healthy,encoding,A8m,CS+,early,25,0.08514152049043977
healthy,encoding,A8m,CS+,early,26,0.6720091278375155
healthy,encoding,A6m,CS+,early,1,0.8393438821675212
healthy,encoding,A6m,CS+,early,2,0.2010051024715691
healthy,encoding,A6m,CS+,early,3,0.00693294376539645
healthy,encoding,A6m,CS+,early,4,0.282584563343492
healthy,encoding,A6m,CS+,early,5,1.267516149605035
healthy,encoding,A6m,CS+,early,6,0.3217880347530548
healthy,encoding,A6m,CS+,early,7,0.18455250073671778
healthy,encoding,A6m,CS+,early,8,0.45726719372604474
healthy,encoding,A6m,CS+,early,9,0.16327942238935375
healthy,encoding,A6m,CS+,early,10,0.5565843530766622
healthy,encoding,A6m,CS+,early,12,0.08077266292364256
healthy,encoding,A6m,CS+,early,13,1.1665436836378256
healthy,encoding,A6m,CS+,early,14,0.03701904436581845
healthy,encoding,A6m,CS+,early,15,0.26545277284363344
healthy,encoding,A6m,CS+,early,16,0.6612838727977144
healthy,encoding,A6m,CS+,early,17,0.07655098534457358
healthy,encoding,A6m,CS+,early,18,0.0021117008090219204
healthy,encoding,A6m,CS+,early,19,0.3362035578138269
healthy,encoding,A6m,CS+,early,21,0.14857201484762628
healthy,encoding,A6m,CS+,early,23,0.14705027315869343
healthy,encoding,A6m,CS+,early,24,0.4202030684580182
healthy,encoding,A6m,CS+,early,25,0.39384494327778874
healthy,encoding,A6m,CS+,early,26,0.05420139522146323
healthy,encoding,hc_tail,CS+,early,1,-0.04784061505651563
healthy,encoding,hc_tail,CS+,early,2,-0.03196539011970544
healthy,encoding,hc_tail,CS+,early,3,0.007561874764712922
healthy,encoding,hc_tail,CS+,early,4,0.013276993274778255
healthy,encoding,hc_tail,CS+,early,5,-0.006689203463023578
healthy,encoding,hc_tail,CS+,early,6,0.09011997860165519
healthy,encoding,hc_tail,CS+,early,7,-0.011110262430978929
healthy,encoding,hc_tail,CS+,early,8,0.11564922509489922
healthy,encoding,hc_tail,CS+,early,9,0.02201479709340502
healthy,encoding,hc_tail,CS+,early,10,0.003870763852632242
healthy,encoding,hc_tail,CS+,early,12,-0.04830745734197692
healthy,encoding,hc_tail,CS+,early,13,-0.03018870829696147
healthy,encoding,hc_tail,CS+,early,14,0.0287025177469305
healthy,encoding,hc_tail,CS+,early,15,-0.00489263561856536
healthy,encoding,hc_tail,CS+,early,16,0.10987141133473506
healthy,encoding,hc_tail,CS+,early,17,0.008812366025931502
healthy,encoding,hc_tail,CS+,early,18,0.07089153384720874
healthy,encoding,hc_tail,CS+,early,19,-0.005062445804456584
healthy,encoding,hc_tail,CS+,early,21,0.012622077138130565
healthy,encoding,hc_tail,CS+,early,23,0.34025730918928954
healthy,encoding,hc_tail,CS+,early,24,0.00831770372506801
healthy,encoding,hc_tail,CS+,early,25,-0.01820015448205564
healthy,encoding,hc_tail,CS+,early,26,-0.09973194434006917
healthy,encoding,hc_body,CS+,early,1,-0.0020530581046787157
healthy,encoding,hc_body,CS+,early,2,0.07572026499907798
healthy,encoding,hc_body,CS+,early,3,-0.01788426647692381
healthy,encoding,hc_body,CS+,early,4,0.03233358500244932
healthy,encoding,hc_body,CS+,early,5,0.08023181531260438
healthy,encoding,hc_body,CS+,early,6,-0.016982927824734633
healthy,encoding,hc_body,CS+,early,7,0.10766808759231822
healthy,encoding,hc_body,CS+,early,8,0.12200253980219787
healthy,encoding,hc_body,CS+,early,9,0.0362653931842856
healthy,encoding,hc_body,CS+,early,10,-0.02910419533784533
healthy,encoding,hc_body,CS+,early,12,0.06607764599832984
healthy,encoding,hc_body,CS+,early,13,-0.025136215128350885
healthy,encoding,hc_body,CS+,early,14,0.0064624366704262946
healthy,encoding,hc_body,CS+,early,15,-0.032823947205840004
healthy,encoding,hc_body,CS+,early,16,0.18005948822000573
healthy,encoding,hc_body,CS+,early,17,0.15329151362936613
healthy,encoding,hc_body,CS+,early,18,0.03559669027155215
healthy,encoding,hc_body,CS+,early,19,-0.008265087319163736
healthy,encoding,hc_body,CS+,early,21,-0.0011802339486203994
healthy,encoding,hc_body,CS+,early,23,0.04505593192103467
healthy,encoding,hc_body,CS+,early,24,-0.013383918475504525
healthy,encoding,hc_body,CS+,early,25,0.005280640515770899
healthy,encoding,hc_body,CS+,early,26,0.02365790816574711
healthy,encoding,hc_head,CS+,early,1,0.3546440051761494
healthy,encoding,hc_head,CS+,early,2,0.03460462474450235
healthy,encoding,hc_head,CS+,early,3,0.023489370214140215
healthy,encoding,hc_head,CS+,early,4,0.17510167634026988
healthy,encoding,hc_head,CS+,early,5,0.056905674773223995
healthy,encoding,hc_head,CS+,early,6,0.1109233863559695
healthy,encoding,hc_head,CS+,early,7,0.11417681372015093
healthy,encoding,hc_head,CS+,early,8,0.08201795986128368
healthy,encoding,hc_head,CS+,early,9,0.03925035778788969
healthy,encoding,hc_head,CS+,early,10,0.15554104916731626
healthy,encoding,hc_head,CS+,early,12,0.12178585315365738
healthy,encoding,hc_head,CS+,early,13,0.022029790530062838
healthy,encoding,hc_head,CS+,early,14,0.2599392420146689
healthy,encoding,hc_head,CS+,early,15,0.05146656712479587
healthy,encoding,hc_head,CS+,early,16,-0.01576130428501608
healthy,encoding,hc_head,CS+,early,17,0.11685155345505284
