subject,phase,block,condition,hc_cr,hc_hr,lc_cr,lc_hr
3,fear_conditioning,3,CS-,-0.041666666666666664,0.0,0.35416666666666663,0.5
3,fear_conditioning,4,CS+,0.4375,0.5,0.75,1.0
3,fear_conditioning,4,CS-,-0.041666666666666664,0.0,0.10416666666666666,0.25
3,fear_conditioning,5,CS+,0.1875,0.25,0.5,0.75
3,fear_conditioning,5,CS-,0.20833333333333334,0.25,0.35416666666666663,0.5
3,fear_conditioning,6,CS+,0.1875,0.25,0.75,1.0
3,fear_conditioning,6,CS-,-0.041666666666666664,0.0,0.35416666666666663,0.5
4,baseline,1,CS+,0.6666666666666666,0.75,0.5,0.75
4,baseline,1,CS-,0.375,0.5,0.20833333333333331,0.5
4,baseline,2,CS+,0.6666666666666666,0.75,0.5,0.75
4,baseline,2,CS-,0.375,0.5,0.4583333333333333,0.75
4,baseline,3,CS+,0.4166666666666667,0.5,0.25,0.5
4,baseline,3,CS-,0.875,1.0,0.7083333333333333,1.0
4,baseline,4,CS+,0.16666666666666669,0.25,0.25,0.5
4,baseline,4,CS-,0.625,0.75,0.4583333333333333,0.75
4,baseline,5,CS+,0.6666666666666666,0.75,0.75,1.0
4,baseline,5,CS-,0.375,0.5,0.4583333333333333,0.75
4,baseline,6,CS+,0.6666666666666666,0.75,0.75,1.0
4,baseline,6,CS-,0.375,0.5,0.7083333333333333,1.0
4,extinction,1,CS+,0.9166666666666666,1.0,0.75,1.0
4,extinction,1,CS-,0.625,0.75,0.4583333333333333,0.75
4,extinction,2,CS+,0.16666666666666669,0.25,0.5,0.75
4,extinction,2,CS-,0.125,0.25,0.20833333333333331,0.5
4,extinction,3,CS+,0.9166666666666666,1.0,0.75,1.0
4,extinction,3,CS-,-0.125,0.0,0.20833333333333331,0.5
4,extinction,4,CS+,0.4166666666666667,0.5,0.5,0.75
4,extinction,4,CS-,0.375,0.5,0.7083333333333333,1.0
4,extinction,5,CS+,0.16666666666666669,0.25,0.5,0.75
4,extinction,5,CS-,-0.125,0.0,0.4583333333333333,0.75
4,extinction,6,CS+,0.6666666666666666,0.75,0.5,0.75
4,extinction,6,CS-,0.375,0.5,0.20833333333333331,0.5
4,fear_conditioning,1,CS+,0.16666666666666669,0.25,0.75,1.0
4,fear_conditioning,1,CS-,0.125,0.25,0.20833333333333331,0.5
4,fear_conditioning,2,CS+,0.16666666666666669,0.25,0.5,0.75
4,fear_conditioning,2,CS-,0.625,0.75,0.7083333333333333,1.0
4,fear_conditioning,3,CS+,0.4166666666666667,0.5,0.5,0.75
4,fear_conditioning,3,CS-,0.375,0.5,0.20833333333333331,0.5
4,fear_conditioning,4,CS+,0.6666666666666666,0.75,0.75,1.0
4,fear_conditioning,4,CS-,0.875,1.0,0.7083333333333333,1.0
4,fear_conditioning,5,CS+,0.4166666666666667,0.5,0.75,1.0
4,fear_conditioning,5,CS-,0.125,0.25,0.4583333333333333,0.75
4,fear_conditioning,6,CS+,0.16666666666666669,0.25,0.25,0.5
4,fear_conditioning,6,CS-,0.875,1.0,0.7083333333333333,1.0
5,baseline,1,CS+,0.5833333333333333,1.0,0.5625,1.0
5,baseline,1,CS-,0.7291666666666667,1.0,0.7291666666666667,1.0
5,baseline,2,CS+,0.5833333333333333,1.0,0.5625,1.0
5,baseline,2,CS-,0.7291666666666667,1.0,0.7291666666666667,1.0
5,baseline,3,CS+,0.5833333333333333,1.0,0.5625,1.0
5,baseline,3,CS-,0.7291666666666667,1.0,0.7291666666666667,1.0
5,baseline,4,CS+,0.5833333333333333,1.0,0.5625,1.0
5,baseline,4,CS-,0.4791666666666667,0.75,0.4791666666666667,0.75
5,baseline,5,CS+,0.3333333333333333,0.75,0.3125,0.75
5,baseline,5,CS-,0.22916666666666669,0.5,0.22916666666666669,0.5
5,baseline,6,CS+,0.5833333333333333,1.0,0.5625,1.0
5,baseline,6,CS-,0.22916666666666669,0.5,0.22916666666666669,0.5
5,extinction,1,CS+,0.5833333333333333,1.0,0.5625,1.0
5,extinction,1,CS-,0.7291666666666667,1.0,0.7291666666666667,1.0
5,extinction,2,CS+,0.5833333333333333,1.0,0.5625,1.0
5,extinction,2,CS-,0.4791666666666667,0.75,0.7291666666666667,1.0
