"","phase","group","hc_tail_ers","yvar","SE","df","LCL","UCL","tvar","xvar"
"98","extinction","healthy",0.04,-0.00647128949943636,0.044235188756436,Inf,-0.093170666311382,0.0802280873125093,"extinction healthy",0.04
"99","acquisition","ptsd",0.04,-0.0552795109270577,0.0441439859019339,Inf,-0.141800133428892,0.0312411115747766,"acquisition ptsd",0.04
"100","extinction","ptsd",0.04,0.0103176174231195,0.0442182640320484,Inf,-0.0763485875385783,0.0969838223848173,"extinction ptsd",0.04
"101","acquisition","healthy",0.05,-0.0259444839146277,0.0441610015192482,Inf,-0.112498456413573,0.0606094885843174,"acquisition healthy",0.05
"102","extinction","healthy",0.05,-0.00734022479680231,0.0442784801677876,Inf,-0.0941244512158371,0.0794440016222325,"extinction healthy",0.05
"103","acquisition","ptsd",0.05,-0.0565469909362671,0.0441405119024513,Inf,-0.143060804524233,0.029966822651699,"acquisition ptsd",0.05
"104","extinction","ptsd",0.05,0.00952284063820768,0.0442421282113026,Inf,-0.0771901372553489,0.0962358185317643,"extinction ptsd",0.05
"105","acquisition","healthy",0.06,-0.0254217023592848,0.0441788199942737,Inf,-0.112010598427539,0.0611671937089698,"acquisition healthy",0.06
"106","extinction","healthy",0.06,-0.00820916009416827,0.0443293267730112,Inf,-0.0950930440281773,0.0786747238398407,"extinction healthy",0.06
"107","acquisition","ptsd",0.06,-0.0578144709454765,0.0441437369291583,Inf,-0.144334605469638,0.0287056635786845,"acquisition ptsd",0.06
"108","extinction","ptsd",0.06,0.00872806385329591,0.0442722988218098,Inf,-0.0780440473502464,0.0955001750568382,"extinction ptsd",0.06
"109","acquisition","healthy",0.07,-0.0248989208039419,0.0442043129707139,Inf,-0.111537782187878,0.0617399405799942,"acquisition healthy",0.07
"110","extinction","healthy",0.07,-0.00907809539153422,0.0443877026084392,Inf,-0.0960763938605497,0.0779202030774812,"extinction healthy",0.07
"111","acquisition","ptsd",0.07,-0.0590819509546859,0.0441536595141445,Inf,-0.145621533388053,0.0274576314786816,"acquisition ptsd",0.07
"112","extinction","ptsd",0.07,0.00793328706838414,0.0443087629810943,Inf,-0.0789102925740823,0.0947768667108506,"extinction ptsd",0.07
"113","acquisition","healthy",0.08,-0.024376139248599,0.0442374671806852,Inf,-0.111079981690015,0.0623277031928167,"acquisition healthy",0.08
"114","extinction","healthy",0.08,-0.00994703068890017,0.0444535780122329,Inf,-0.0970744425768183,0.077180381199018,"extinction healthy",0.08
"115","acquisition","ptsd",0.08,-0.0603494309638953,0.0441702751437123,Inf,-0.146921579432796,0.0262227175050057,"acquisition ptsd",0.08
"116","extinction","ptsd",0.08,0.00713851028347237,0.0443515051661932,Inf,-0.0797888425024084,0.0940658630693532,"extinction ptsd",0.08
"117","acquisition","healthy",0.09,-0.0238533576932561,0.0442782654146994,Inf,-0.110637163203972,0.0629304478174602,"acquisition healthy",0.09
"118","extinction","healthy",0.09,-0.0108159659862661,0.044526919698669,Inf,-0.0980871249381643,0.0764551929656321,"extinction healthy",0.09
"119","acquisition","ptsd",0.09,-0.0616169109731047,0.044193576268633,Inf,-0.148234728807649,0.02500090686144,"acquisition ptsd",0.09
