subject,encode_phase,condition,source_memory,run,roi,pe
3,extinction,CSp,acquisition,memory_run-01,rsp,-54.515984
3,extinction,CSp,acquisition,memory_run-02,dACC,189.80338
3,extinction,CSp,acquisition,memory_run-02,thl,16.189869
3,extinction,CSp,acquisition,memory_run-02,lOFC,46.285698
3,extinction,CSp,acquisition,memory_run-02,rsp,-17.705220999999995
3,extinction,CSp,acquisition,memory_run-03,dACC,20.59098
3,extinction,CSp,acquisition,memory_run-03,thl,49.16815
3,extinction,CSp,acquisition,memory_run-03,lOFC,-362.28915
3,extinction,CSp,acquisition,memory_run-03,rsp,-34.897552000000005
3,extinction,CSp,extinction,memory_run-01,dACC,257.612
3,extinction,CSp,extinction,memory_run-01,thl,89.57403599999998
3,extinction,CSp,extinction,memory_run-01,lOFC,-7.1681127999999985
3,extinction,CSp,extinction,memory_run-01,rsp,-13.194864
3,extinction,CSp,extinction,memory_run-02,dACC,258.9071
3,extinction,CSp,extinction,memory_run-02,thl,15.450864
3,extinction,CSp,extinction,memory_run-02,lOFC,44.17931
3,extinction,CSp,extinction,memory_run-02,rsp,-103.65267
3,extinction,CSp,extinction,memory_run-03,dACC,3.7075136
3,extinction,CSp,extinction,memory_run-03,thl,39.183968
3,extinction,CSp,extinction,memory_run-03,lOFC,-76.844635
3,extinction,CSp,extinction,memory_run-03,rsp,94.145096
3,extinction,CSm,baseline,memory_run-01,dACC,263.5862
3,extinction,CSm,baseline,memory_run-01,thl,36.73886
3,extinction,CSm,baseline,memory_run-01,lOFC,42.03704000000001
3,extinction,CSm,baseline,memory_run-01,rsp,19.156136
3,extinction,CSm,baseline,memory_run-02,dACC,142.29541
3,extinction,CSm,baseline,memory_run-02,thl,-108.942444
3,extinction,CSm,baseline,memory_run-02,lOFC,-47.960735
3,extinction,CSm,baseline,memory_run-02,rsp,63.313274
3,extinction,CSm,baseline,memory_run-03,dACC,-139.86917
3,extinction,CSm,baseline,memory_run-03,thl,-124.24009
3,extinction,CSm,baseline,memory_run-03,lOFC,-136.0109
3,extinction,CSm,baseline,memory_run-03,rsp,-5.1206822
3,extinction,CSm,acquisition,memory_run-01,dACC,279.18536
3,extinction,CSm,acquisition,memory_run-01,thl,90.33663
3,extinction,CSm,acquisition,memory_run-01,lOFC,47.55677
3,extinction,CSm,acquisition,memory_run-01,rsp,-38.536785
3,extinction,CSm,acquisition,memory_run-02,dACC,18.433594
3,extinction,CSm,acquisition,memory_run-02,thl,-18.489098
3,extinction,CSm,acquisition,memory_run-02,lOFC,-155.312
3,extinction,CSm,acquisition,memory_run-02,rsp,-68.01488499999999
3,extinction,CSm,acquisition,memory_run-03,dACC,94.478676
3,extinction,CSm,acquisition,memory_run-03,thl,-249.93173
3,extinction,CSm,acquisition,memory_run-03,lOFC,-90.328415
3,extinction,CSm,acquisition,memory_run-03,rsp,-47.32734
3,extinction,CSm,extinction,memory_run-01,dACC,323.0555
3,extinction,CSm,extinction,memory_run-01,thl,-129.06387
3,extinction,CSm,extinction,memory_run-01,lOFC,-146.61346
3,extinction,CSm,extinction,memory_run-01,rsp,-160.90135
3,extinction,CSm,extinction,memory_run-02,dACC,246.34494
3,extinction,CSm,extinction,memory_run-02,thl,-42.56974
3,extinction,CSm,extinction,memory_run-02,lOFC,68.38033
3,extinction,CSm,extinction,memory_run-02,rsp,-159.96333
3,extinction,CSm,extinction,memory_run-03,dACC,205.52988
3,extinction,CSm,extinction,memory_run-03,thl,-169.64156
3,extinction,CSm,extinction,memory_run-03,lOFC,23.62112
3,extinction,CSm,extinction,memory_run-03,rsp,58.59336500000001
4,baseline,CSp,baseline,memory_run-01,dACC,48.943913
4,baseline,CSp,baseline,memory_run-01,thl,-61.28652
4,baseline,CSp,baseline,memory_run-01,lOFC,-13.014541
4,baseline,CSp,baseline,memory_run-01,rsp,32.799812
4,baseline,CSp,baseline,memory_run-02,dACC,19.776768
4,baseline,CSp,baseline,memory_run-02,thl,-67.020676
4,baseline,CSp,baseline,memory_run-02,lOFC,-27.15031
4,baseline,CSp,baseline,memory_run-02,rsp,121.35185
4,baseline,CSp,baseline,memory_run-03,dACC,-37.561058
4,baseline,CSp,baseline,memory_run-03,thl,22.89861
4,baseline,CSp,baseline,memory_run-03,lOFC,11.090723
4,baseline,CSp,baseline,memory_run-03,rsp,66.2894
4,baseline,CSp,acquisition,memory_run-01,dACC,-37.10505300000001
4,baseline,CSp,acquisition,memory_run-01,thl,-18.975418
4,baseline,CSp,acquisition,memory_run-01,lOFC,36.47441
4,baseline,CSp,acquisition,memory_run-01,rsp,137.96379
4,baseline,CSp,acquisition,memory_run-02,dACC,9.795871
4,baseline,CSp,acquisition,memory_run-02,thl,25.998524
4,baseline,CSp,acquisition,memory_run-02,lOFC,-6.420183
