subject,encode_phase,condition,source_memory,run,roi,pe
9,extinction,CSm,acquisition,memory_run-01,cuneus,112.98443
9,extinction,CSm,acquisition,memory_run-02,cuneus,28.9116
9,extinction,CSm,acquisition,memory_run-03,cuneus,140.92923000000002
9,extinction,CSm,extinction,memory_run-01,cuneus,141.327
9,extinction,CSm,extinction,memory_run-02,cuneus,62.35556
9,extinction,CSm,extinction,memory_run-03,cuneus,279.635
10,baseline,CSp,baseline,memory_run-01,cuneus,270.76306
10,baseline,CSp,baseline,memory_run-02,cuneus,134.51697
10,baseline,CSp,baseline,memory_run-03,cuneus,186.46579
10,baseline,CSp,acquisition,memory_run-01,cuneus,174.73506
10,baseline,CSp,acquisition,memory_run-02,cuneus,181.31894
10,baseline,CSp,acquisition,memory_run-03,cuneus,126.83045
10,baseline,CSp,extinction,memory_run-01,cuneus,196.8814
10,baseline,CSp,extinction,memory_run-02,cuneus,172.38199
10,baseline,CSp,extinction,memory_run-03,cuneus,198.72378999999998
10,baseline,CSm,baseline,memory_run-01,cuneus,203.73169
10,baseline,CSm,baseline,memory_run-02,cuneus,100.82041
10,baseline,CSm,baseline,memory_run-03,cuneus,200.45946999999998
10,baseline,CSm,acquisition,memory_run-01,cuneus,81.84543000000001
10,baseline,CSm,acquisition,memory_run-02,cuneus,129.3922
10,baseline,CSm,acquisition,memory_run-03,cuneus,177.88898
10,baseline,CSm,extinction,memory_run-01,cuneus,180.25066999999999
10,baseline,CSm,extinction,memory_run-02,cuneus,113.43073999999999
10,baseline,CSm,extinction,memory_run-03,cuneus,223.27682000000001
10,acquisition,CSp,acquisition,memory_run-01,cuneus,194.36584
10,acquisition,CSp,acquisition,memory_run-02,cuneus,174.18747
10,acquisition,CSp,acquisition,memory_run-03,cuneus,159.75104
10,acquisition,CSp,extinction,memory_run-01,cuneus,165.9218
10,acquisition,CSp,extinction,memory_run-02,cuneus,105.28568999999999
10,acquisition,CSp,extinction,memory_run-03,cuneus,126.74838999999999
10,acquisition,CSm,baseline,memory_run-01,cuneus,159.17625
10,acquisition,CSm,baseline,memory_run-02,cuneus,171.02306000000002
10,acquisition,CSm,baseline,memory_run-03,cuneus,221.19937000000002
10,acquisition,CSm,acquisition,memory_run-02,cuneus,138.19644
10,acquisition,CSm,extinction,memory_run-01,cuneus,242.81467999999998
10,acquisition,CSm,extinction,memory_run-02,cuneus,157.71992
10,acquisition,CSm,extinction,memory_run-03,cuneus,216.85246
10,extinction,CSp,acquisition,memory_run-01,cuneus,191.29495
10,extinction,CSp,acquisition,memory_run-02,cuneus,136.37523000000002
10,extinction,CSp,acquisition,memory_run-03,cuneus,204.89713
10,extinction,CSp,extinction,memory_run-01,cuneus,161.63652
